令和６（２０２４）年　社会医療診療行為別統計　令和６年８月審査分,,,,,,,,,,
診療行為の状況　医科診療　第１８表　医科診療　回数・点数，診療行為（細分類）、入院－入院外別,,,,,,,,,,
注：１）表側欄内の数字は固定点数である。,,,,,,,,,,
注：２）＊がついている診療行為の回数は再掲である。,,,,,,,,,,
注：３）「回数」は、当該診療行為が実施された延べ算定回数である。,,,,,,,,,,
注：４）総数には、入院時食事・生活療養を含まない。,,,,,,,,,,
注：５）「結核病棟特別入院基本料」には、特定機能病院の特別入院基本料を含む。,,,,,,,,,,
注：６）「薬剤料（診療識別80）」は、リハビリテーション及び精神科専門療法の薬剤料である。,,,,,,,,,,
注：７）「特定保険医療材料料（診療識別80）　酸素料」は、精神科専門療法の酸素料である。,,,,,,,,,,
注：８）「特定保険医療材料料（診療識別80）　酸素料以外」は、精神科専門療法及び放射線治療の特定保険医療材料料である。,,,,,,,,,,
注：９）「造血幹細胞移植　提供者の療養上の費用」には、骨髄移植及び末梢血管細胞移植における提供者の療養上の費用を含む。,,,,,,,,,,
,,,,,総数,総数,入院,入院,入院外,入院外
,,,,,回数,点数,回数,点数,回数,点数
診療行為１,診療行為２,診療行為３,固定点数,再掲,回,点,回,点,回,点
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料21,1488 ,,1267 ,1885296 ,1267 ,1885296 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料21（生活療養）,1474 ,,20022 ,29512428 ,20022 ,29512428 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料22,1442 ,,92407 ,133250894 ,92407 ,133250894 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料22（生活療養）,1427 ,,1075959 ,1535393493 ,1075959 ,1535393493 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料23,1414 ,,25236 ,35683704 ,25236 ,35683704 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料23（生活療養）,1400 ,,357710 ,500794000 ,357710 ,500794000 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料24,1260 ,,16696 ,21036960 ,16696 ,21036960 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料24（生活療養）,1245 ,,157744 ,196391280 ,157744 ,196391280 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料25,983 ,,14580 ,14332140 ,14580 ,14332140 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料25（生活療養）,968 ,,156709 ,151694312 ,156709 ,151694312 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料26,935 ,,12502 ,11689370 ,12502 ,11689370 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料26（生活療養）,920 ,,134936 ,124141120 ,134936 ,124141120 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料27,830 ,,9964 ,8270120 ,9964 ,8270120 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料27（生活療養）,816 ,,88314 ,72064224 ,88314 ,72064224 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料28,1831 ,,-,-,-,-,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料28（生活療養）,1816 ,,534 ,969744 ,534 ,969744 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料29,1776 ,,-,-,-,-,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料29（生活療養）,1762 ,,353 ,621986 ,353 ,621986 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料30,1488 ,,2 ,2976 ,2 ,2976 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料30（生活療養）,1474 ,,31 ,45694 ,31 ,45694 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料２　入院料１,1899 ,,818 ,1553382 ,818 ,1553382 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料２　入院料１（生活療養）,1885 ,,16201 ,30538885 ,16201 ,30538885 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料２　入院料２　,1845 ,,26 ,47970 ,26 ,47970 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料２　入院料２（生活療養）,1831 ,,1754 ,3211574 ,1754 ,3211574 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料２　入院料３　,1556 ,,-,-,-,-,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料２　入院料３（生活療養）,1542 ,,162 ,249804 ,162 ,249804 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料２　入院料４　,1627 ,,1915 ,3115705 ,1915 ,3115705 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料２　入院料４（生活療養）,1613 ,,27116 ,43738108 ,27116 ,43738108 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料２　入院料５　,1573 ,,62 ,97526 ,62 ,97526 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料２　入院料５（生活療養）,1559 ,,2999 ,4675441 ,2999 ,4675441 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料２　入院料６　,1284 ,,2 ,2568 ,2 ,2568 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料２　入院料６（生活療養）,1270 ,,340 ,431800 ,340 ,431800 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料２　入院料７　,1579 ,,13 ,20527 ,13 ,20527 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料２　入院料７（生活療養）,1565 ,,1201 ,1879565 ,1201 ,1879565 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料２　入院料８　,1525 ,,29 ,44225 ,29 ,44225 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料２　入院料８（生活療養）,1511 ,,431 ,651241 ,431 ,651241 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料２　入院料９　,1236 ,,-,-,-,-,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料２　入院料９（生活療養）,1222 ,,89 ,108758 ,89 ,108758 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料２　入院料10　,1766 ,,675 ,1192050 ,675 ,1192050 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料２　入院料10（生活療養）,1752 ,,3591 ,6291432 ,3591 ,6291432 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料２　入院料11,1712 ,,81 ,138672 ,81 ,138672 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料２　入院料11（生活療養）,1698 ,,1052 ,1786296 ,1052 ,1786296 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料２　入院料12,1423 ,,1 ,1423 ,1 ,1423 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料２　入院料12（生活療養）,1409 ,,576 ,811584 ,576 ,811584 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料２　入院料13,1389 ,,1069 ,1484841 ,1069 ,1484841 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料２　入院料13（生活療養）,1375 ,,8528 ,11726000 ,8528 ,11726000 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料２　入院料14,1362 ,,410 ,558420 ,410 ,558420 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料２　入院料14（生活療養）,1347 ,,3638 ,4900386 ,3638 ,4900386 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料２　入院料15,1207 ,,173 ,208811 ,173 ,208811 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料２　入院料15（生活療養）,1193 ,,1317 ,1571181 ,1317 ,1571181 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料２　入院料16,1305 ,,1637 ,2136285 ,1637 ,2136285 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料２　入院料16（生活療養）,1291 ,,17566 ,22677706 ,17566 ,22677706 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料２　入院料17,1278 ,,1392 ,1778976 ,1392 ,1778976 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料２　入院料17（生活療養）,1263 ,,12263 ,15488169 ,12263 ,15488169 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料２　入院料18,1123 ,,730 ,819790 ,730 ,819790 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料２　入院料18（生活療養）,1109 ,,5403 ,5991927 ,5403 ,5991927 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料２　入院料19,1766 ,,2090 ,3690940 ,2090 ,3690940 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料２　入院料19（生活療養）,1752 ,,37885 ,66374520 ,37885 ,66374520 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料２　入院料20,1712 ,,199 ,340688 ,199 ,340688 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料２　入院料20（生活療養）,1698 ,,8112 ,13774176 ,8112 ,13774176 ,-,-
